image_name,image_file,mask_file,group,length,width,aspect_ratio,area,perimeter,surface_structure,solidity,circularity,R_median,G_median,B_median,R_mean,G_mean,B_mean,sR_median,sG_median,sB_median,sR_mean,sG_mean,sB_mean,rgb_0_r,rgb_0_g,rgb_0_b,rgb_1_r,rgb_1_g,rgb_1_b,rgb_2_r,rgb_2_g,rgb_2_b,rgb_3_r,rgb_3_g,rgb_3_b,rgb_0_frac,rgb_1_frac,rgb_2_frac,rgb_3_frac,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27,x_28,y_28,x_29,y_29,x_30,y_30,x_31,y_31,x_32,y_32,x_33,y_33,x_34,y_34,x_35,y_35,x_36,y_36,x_37,y_37,x_38,y_38,x_39,y_39,x_40,y_40,x_41,y_41,x_42,y_42,x_43,y_43,x_44,y_44,x_45,y_45,x_46,y_46,x_47,y_47,x_48,y_48,x_49,y_49
image_29,/app/images_aligned/image/extractions/image_29.png,/app/images_aligned/image/masks/image_29_mask.png,image,35,14,0.4,276,92.49747468305833,0.9507408261499426,0.6715328467153284,0.4053770837127415,78.0,97.0,71.0,70.12676056338029,100.91549295774648,72.77464788732394,149.0,165.0,143.0,130.83098591549296,155.57746478873239,131.71830985915494,35,46,31,104,120,103,156,178,156,211,233,217,0.25,0.25,0.25,0.25,-0.025642774071473116,0.048272998629084546,-0.037434676373078936,-0.011045396238870075,-0.002690009694878129,-0.05931779311416709,0.021883814949283653,-0.09589709907384446,0.005959183424398568,-0.1553923874254911,-0.027075185591499917,-0.2020700177466592,-0.07371219023882192,-0.21174844286758088,-0.11408480385128436,-0.25267858194957277,-0.1592945736274831,-0.29018868117118435,-0.20093611419665627,-0.3076590206539012,-0.231379868060108,-0.35440673825673935,-0.2501138484069299,-0.40723777628019664,-0.2010738716624063,-0.436795626729063,-0.14157860039145914,-0.4527203220523285,-0.08416034026668093,-0.4465604563914601,-0.02721805253623393,-0.4402590560853809,0.02611195203485333,-0.4094500664724513,0.07944195660594071,-0.3786410768595216,0.13277196117702844,-0.34783208724659237,0.17938723352564748,-0.3117860259417888,0.21435977724526076,-0.26673217288160184,0.26497942085044873,-0.23330847427887885,0.2809043123905564,-0.17381325552907007,0.25485933647894693,-0.12825443907238618,0.20869828116195288,-0.09437013820340458,0.18278377884685906,-0.05779860546256446,0.16158457629607945,-0.0027742356233273657,0.13077558668314973,0.0505557689477605,0.11915908119579424,0.10666103540850719,0.09229589837376473,0.1520757616367447,0.05587009662141162,0.19194169306320477,0.03637183160732689,0.23163132726687316,0.014736332358809627,0.2795620509537847,0.0002050076040570964,0.33536712808000224,0.00011702959554572625,0.39342902148796216,-0.030280915763970944,0.44693310611974235,-0.061089905376900865,0.5002631106908302,-0.09727446142083254,0.5472796779476716,-0.13520556965552075,0.5237006658608627,-0.11108629222810758,0.46921588308847656,-0.1002628365783034,0.4129504279978963,-0.08065711586705304,0.35774813346126366,-0.04984812625412307,0.30441812889017594,-0.008163693420295985,0.265080997772162,0.020547511817764468,0.22083972765155319,-0.0215026549335061,0.20406452071606915,-0.07094401027999725,0.20075583479377787,-0.05947132163738894,0.14469017655925423,-0.05754545364629009,0.08717811961130957,-0.024076694813596124,0.05412267697305825
image_9,/app/images_aligned/image/extractions/image_9.png,/app/images_aligned/image/masks/image_9_mask.png,image,28,13,0.4642857142857143,232,95.5685424949238,0.7997025472608029,0.6287262872628726,0.3192037049848486,72.0,116.5,76.0,86.78571428571429,122.03571428571429,79.39285714285714,144.0,179.0,147.5,148.60714285714286,175.89285714285714,142.5,52,61,36,121,136,107,167,189,158,224,235,207,0.25,0.25,0.25,0.25,0.04573365685313208,0.08626488710066224,0.11074710653746231,0.09570428695100074,0.1730665637486375,0.04680281873193074,0.2029116321310736,-0.027402659482247276,0.14249876263059344,-0.08184102296656742,0.09655253133935664,-0.1460088764495639,0.025787022856013662,-0.19288704885813993,-0.04296018344332102,-0.24128543681815007,-0.09093524962806876,-0.3039396426594428,-0.12401220510309069,-0.2385074766768987,-0.12887149526796013,-0.1593472807134565,-0.19136540600842972,-0.17195956656207817,-0.2400934966464204,-0.23409385722423895,-0.29698959610223963,-0.2909969349066067,-0.349736506041865,-0.35091834120324306,-0.3218118775284283,-0.4245794675050682,-0.25875574216061586,-0.47246737628452024,-0.1841102151622933,-0.4668542263394518,-0.11334456981816929,-0.41997626053164977,-0.04257868749326341,-0.37309865240277046,0.028186957850860395,-0.3262206865949678,0.09895214304471721,-0.27934202615864934,0.16238806493384075,-0.22697663487942912,0.21618319086674603,-0.16795339056664801,0.28694856878669694,-0.12107502106364068,0.3455408508308141,-0.14972275210139002,0.41630665496337993,-0.10284502601563313,0.4115941964534919,-0.038504864308568254,0.4259719797457189,0.02145809977549855,0.3486163635648967,0.04740484910033161,0.2883316875391199,0.10022552108859133,0.24121928057835212,0.16125816722955494,0.21587543676581566,0.23677487257603264,0.16899733480867055,0.3075404277443751,0.10428322244970188,0.3033931558831979,0.04631522293311743,0.32667348216305836,-0.026033521339549014,0.2857970301424285,-0.08667206282433339,0.3371380890850821,-0.10403631301564248,0.4141903013205372,-0.15091449043241198,0.4849558065097135,-0.21729818732709777,0.5275326237154798,-0.29308331453754244,0.5065510556147272,-0.28364145254145057,0.4307213801145131,-0.2886923462948762,0.349419520003922,-0.27891536475252404,0.27082978823150505,-0.22855861287352294,0.2051802817515657,-0.167447879411358,0.15455053394275758,-0.10337440482901229,0.10767752654377764,-0.029896967354958247,0.10753387112750394,0.04112171572623483,0.09322615282527265
image_18,/app/images_aligned/image/extractions/image_18.png,/app/images_aligned/image/masks/image_18_mask.png,image,25,15,0.6,249,69.35533905932738,0.9472736446956986,0.8383838383838383,0.650503163099664,104.5,156.5,103.0,106.75510204081633,152.25510204081633,101.03061224489795,170.5,204.5,169.0,166.10204081632654,196.94897959183675,161.4591836734694,46,59,41,126,146,120,172,202,165,210,233,208,0.24899598393574296,0.24899598393574296,0.24899598393574296,0.25301204819277107,-0.2917663475247097,-0.00843703497002405,-0.3181588167265801,-0.07070721889925194,-0.2854882233302083,-0.10986195080681087,-0.22321777217881436,-0.13625378965330207,-0.16094777330377677,-0.16264669551438504,-0.17874447546125988,-0.22312123025223213,-0.14009336388460286,-0.2727567588776353,-0.0944393190289146,-0.31595991192407175,-0.11115507668555032,-0.37876617989006683,-0.10416833147783142,-0.44192724113510207,-0.10037548675045059,-0.4921332773542058,-0.037462942468736084,-0.4964838835633492,0.02514913169120558,-0.5115781809638243,0.057104305874775316,-0.45965349088181934,0.11889854870406182,-0.43321154987458427,0.1816477337306826,-0.40948461149999055,0.24089564306333686,-0.4242485903757324,0.27518855939320236,-0.36996814106355286,0.31744849235853767,-0.3232761513262649,0.34384080569815995,-0.2610059013166862,0.3319898314342754,-0.19797984008656067,0.3066204559801269,-0.13528587662938932,0.28125108052597797,-0.07259191317221843,0.2558817050718282,-0.00989794971504785,0.2743121990837604,0.05282493193987482,0.2524668032668912,0.11572024558521976,0.22709742781274259,0.17841420904239091,0.21910555014757002,0.2411565431785395,0.20689076517102986,0.2890772479259648,0.16381844797296033,0.33479212448821943,0.13844907251881036,0.3974860879453899,0.11307969706466038,0.46018005140256074,0.052898505417396394,0.4884218190361756,-0.010058655876356043,0.48229950594729487,-0.056205143445557486,0.46769709493101175,-0.10393838370980445,0.4545746196250549,-0.16620838267928978,0.4809675255261681,-0.20207696983863674,0.4421146516097959,-0.22846919148371234,0.37984436274606653,-0.17471020789232078,0.3495421912866195,-0.11895434693026943,0.3196476036435159,-0.13660489678947013,0.25695813028180076,-0.0918752395044735,0.21316292057996844,-0.0839000420973135,0.1634173748848193,-0.07333367350761917,0.100599383197463,-0.06963300263012298,0.03778545637960559,-0.11466052470828993,-0.006134899338496497,-0.1774790176554033,0.012882100696530023,-0.240709356707811,0.006187624745745355,-0.2891997977041069,-0.002381537541191853
image_4,/app/images_aligned/image/extractions/image_4.png,/app/images_aligned/image/masks/image_4_mask.png,image,45,29,0.6444444444444445,771,138.71067811865476,0.8575642511387621,0.8353196099674973,0.5035521473391978,23.0,80.0,78.0,36.487912087912086,86.54945054945055,80.9076923076923,87.0,151.0,149.0,86.82637362637362,137.95384615384614,134.72527472527472,23,44,39,72,112,110,90,166,164,162,203,191,0.245136186770428,0.24773022049286642,0.2503242542153048,0.25680933852140075,-0.23470041151387638,-0.02332185619778042,-0.2238146324805529,-0.07031473627736519,-0.15784547755546421,-0.07686093048157089,-0.1500242147742611,-0.1448469253784802,-0.2134484115019181,-0.16770564333367338,-0.2084570967900536,-0.23206820007439977,-0.18077961353766256,-0.29232526436161976,-0.15220893282968329,-0.35281294686718706,-0.1151895399082424,-0.4066110454693735,-0.06610482942623372,-0.45268271323193027,-0.017943338929246266,-0.4993315573304597,0.04269465303160166,-0.5312679593414027,0.10267761658399745,-0.502797446332054,0.11395468572307006,-0.4412896796623003,0.147018709291223,-0.3945570355654845,0.21368801032079668,-0.3979093960323612,0.22771482509782925,-0.3463169217619606,0.23272582396181604,-0.28000653406839493,0.2845557460996411,-0.23953986723033807,0.323846479400894,-0.18080936806269696,0.3308680923711888,-0.11428666356495792,0.3549363075132183,-0.0684994185181608,0.35800996064835494,-0.0017706103160638152,0.3297342305835748,0.0585765749209963,0.28658694144547237,0.1089935807968457,0.24077852021111035,0.15746603342143745,0.2023018260373089,0.21086971585224776,0.15811178308515045,0.24043287667688504,0.11795036564414811,0.2922651087184633,0.1129820721355526,0.35361294024615203,0.06324440844533423,0.3994205953159063,0.04949825274139825,0.4687320406585972,0.0005242063407189423,0.45233232088746017,-0.03841928390115783,0.4105984962858506,-0.08311347858781303,0.3686628316361943,-0.06975077824039846,0.31043849794684547,-0.0007096698807325424,0.32199525398979445,0.05059403668955273,0.29606112687451647,0.0440382189173198,0.23142304852948714,-0.016448727014866313,0.20285257365293458,-0.08576021746743087,0.18910664541008662,-0.1401744152836006,0.17151719481889666,-0.1930273257352788,0.18440751719576842,-0.25984985560968843,0.18657427564347936,-0.323667436685901,0.20312760320131945,-0.372417943624381,0.17253364218175507,-0.32805240302051564,0.12307288348650354,-0.289616866861108,0.06969673578789491,-0.2320488197129525,0.0497632983606266,-0.2354620514472535,-0.016600693036927627
image_17,/app/images_aligned/image/extractions/image_17.png,/app/images_aligned/image/masks/image_17_mask.png,image,21,11,0.5238095238095238,144,53.94112549695428,0.9385680504725126,0.8181818181818182,0.621916885429374,134.5,199.0,183.0,124.0,179.71428571428572,161.35714285714286,191.0,228.0,219.5,177.42857142857142,212.71428571428572,202.03571428571428,77,101,89,156,184,172,197,228,219,227,250,238,0.25,0.25,0.24305555555555555,0.2569444444444444,-0.02821117090536541,0.026666589675820862,-0.06951211298255812,-0.016864547935868328,-0.1263965491163547,-0.02622525820224237,-0.1839705892066311,-0.034063897630536626,-0.2252612162131786,-0.0776047839777671,-0.1849003180206901,-0.11899581824180747,-0.1739362428007643,-0.17517256099299056,-0.21282118622193294,-0.2196307756610974,-0.18988862976454723,-0.2614732392990042,-0.17029191517836578,-0.3138077407326118,-0.16871506980311798,-0.3737930836188212,-0.1291583096370366,-0.4172327875931049,-0.08562744100433133,-0.4585340132472945,-0.032965173595655706,-0.4770093107368665,0.013965779575329032,-0.4460745319283228,0.05526700633461511,-0.4025436644658896,0.09844155556424562,-0.3878234950035476,0.1418932358768742,-0.4146795268618664,0.18289401611665618,-0.3710027362964778,0.1888123839645337,-0.3135072507872784,0.23011307043344797,-0.26997587060629735,0.22986444640919218,-0.2101934589609558,0.22828760103394238,-0.15020811607474663,0.20724988929157212,-0.09849630298883923,0.17533573725175314,-0.05161051385562264,0.15480730393500167,0.00033061358373820166,0.1065107352808989,0.030257228078769058,0.05336097035357835,0.047508643625232966,0.032335631389879084,0.09048253770341314,0.0754382595661633,0.13016044254362494,0.13094664646165438,0.14269863336964658,0.1690492917646185,0.187534423244947,0.1674724463893709,0.24751976613115506,0.16589560101412265,0.30750510901736317,0.16431875563887505,0.3674904519035719,0.132298879672506,0.4142462135759256,0.08876762765141614,0.45554703503575994,0.04523669577542236,0.4968481939593659,0.0010569849196447529,0.5229906892631334,-0.04006142681283546,0.4793373056318009,-0.04587664555845185,0.42180380636935627,-0.08717779044200086,0.3782728611927997,-0.1284786889899766,0.3347416822076395,-0.16977986592561153,0.29121076744407315,-0.18477531237696368,0.23716038889655355,-0.18319846700171571,0.17717504601034495,-0.17700264653040626,0.11886094653963203,-0.13346236648988155,0.07756974430280655,-0.07584118025419083,0.0719526565729379,-0.03231023683275005,0.030651509820446034
image_34,/app/images_aligned/image/extractions/image_34.png,/app/images_aligned/image/masks/image_34_mask.png,image,46,35,0.7608695652173914,1163,206.06601717798213,0.6992092296142088,0.8015161957270848,0.34417302139405687,93.0,133.0,96.0,93.37518037518038,125.2034632034632,93.03030303030303,162.0,190.0,164.0,144.7950937950938,167.017316017316,143.43578643578644,37,47,31,116,134,112,175,206,180,218,237,215,0.24419604471195186,0.2553740326741187,0.24935511607910577,0.2510748065348237,-0.37374946160712924,-0.012119815435333824,-0.30917499437179347,-0.0650531151725616,-0.28168948470099914,-0.15275459759968749,-0.31135970695593723,-0.2419200865105485,-0.2793410593471912,-0.3456027670758955,-0.30768811565880105,-0.449481713448624,-0.21233184604634786,-0.49923227867141745,-0.10669382541752376,-0.48011770942491616,-0.061463709108123,-0.384296429281083,-0.05740599344853602,-0.30129754163664857,0.013253599736650443,-0.3372828354531996,0.0012995534170787365,-0.43651614113074194,0.06412651855770161,-0.490260073966468,0.16018468711023312,-0.509969290615505,0.23409826530637012,-0.4766180516974421,0.314315476871085,-0.42657920209148537,0.39034120260695654,-0.34848958364790406,0.4279856050358736,-0.24606331405400297,0.3926187249898453,-0.14739793551509447,0.38246259717407116,-0.06536586374416134,0.34991766820481895,0.036867464862619666,0.3526963697780426,0.12071561466656386,0.2570937091959781,0.1257450188605252,0.22322370408729886,0.2002950383287647,0.16379660954511252,0.23267668312087414,0.25913927036410594,0.2874999072801603,0.28124265028526485,0.3977710379805938,0.2155356472745032,0.3733837586279047,0.1486531148969149,0.3008642713529179,0.08969789869499203,0.242852026342257,0.002555025934769807,0.27793698968209757,0.07055328953547162,0.3596699328862565,0.06464201118706735,0.45298544983785216,-0.019832673794665426,0.4589265378249431,-0.12040873064982925,0.49003070938449494,-0.20194603030721853,0.42602589086735587,-0.29493523431866586,0.41308796219689686,-0.33461821475550385,0.31271772296478645,-0.2983514551576127,0.2485874416155041,-0.19002800946212242,0.26046123732246074,-0.14843641327953808,0.1637169670552426,-0.10890862510505858,0.09392393871501632,-0.01126266083915051,0.11647933774296315,0.07331525420654117,0.049542326323217756,0.08533641352111318,-0.029098979732362255,-0.02590546735717347,-0.028225883718090157,-0.1145039428592853,-0.03252434603009472,-0.19335288058108616,0.016918561642398754,-0.2823276544389787,0.04724333883241824,-0.3723686779495905,-0.0006576106638197636
image_33,/app/images_aligned/image/extractions/image_33.png,/app/images_aligned/image/masks/image_33_mask.png,image,35,11,0.3142857142857143,263,85.76955262170047,0.933217302804158,0.7874251497005988,0.4492616242848885,131.5,199.0,165.0,128.02702702702703,183.93243243243242,157.67567567567568,189.0,228.0,209.5,180.4189189189189,215.02702702702703,200.16216216216216,40,52,37,134,159,145,171,215,208,215,241,223,0.24714828897338403,0.24714828897338403,0.2509505703422053,0.25475285171102663,0.0007295517287038355,0.012015218536590681,0.02247082599606478,0.061907633501538314,0.044212100263425216,0.1118000484664862,0.06595337453078697,0.1616924634314335,0.06443621586616016,0.21269322845198932,0.0861774901335213,0.2625856434169368,0.10791876440088245,0.31247805838188436,0.123174120373327,0.36277329250202595,0.1032682578879265,0.41342595991960096,0.06916582274115865,0.45087089762599764,0.019273407776210987,0.4726121718933587,-0.01390934212447091,0.5108134014328655,-0.06418859952263566,0.5113631890272254,-0.08150578684253801,0.46283366297352074,-0.06159992435713779,0.4121809955559457,-0.0606473257554783,0.36150744398063933,-0.059111841927837146,0.3105487319982911,-0.08998990872429002,0.26972318572001996,-0.11922940877327057,0.2270718281334791,-0.14097068304063107,0.17717941316853156,-0.1479086230150028,0.12687868591170262,-0.16090865427171275,0.07668938532997113,-0.14130777820588636,0.025928051054789875,-0.15451448041067964,-0.024620090969196682,-0.11898422392260613,-0.060675526725390644,-0.12073393483156333,-0.10327506547662126,-0.09251514652410077,-0.1434340074220416,-0.059714605275170564,-0.18169479648751122,-0.0398087427897711,-0.23234746390508662,-0.05646779025313483,-0.28268979422936974,-0.07820906452049572,-0.33258220919431714,-0.11392536161066665,-0.36804140974677535,-0.13304177459776156,-0.4158759868514653,-0.11238157418896216,-0.4660601756726358,-0.06308849487230356,-0.48863681097277456,-0.02430813409651755,-0.4813009099305376,0.015166023657032457,-0.4495960658262563,0.06581869107460823,-0.42969020334085595,0.09019216951625365,-0.3819899107017,0.11193344378361493,-0.3320974957367512,0.13367471805097603,-0.2822050807718032,0.17191169444839474,-0.2489402980957346,0.19365296871575627,-0.19904788313078578,0.19175687402597982,-0.1483593274861373,0.19018949619661055,-0.09803118905444808,0.18275508381899144,-0.04971392199143484,0.13242983580344034,-0.03972649684035712,0.08163013003997789,-0.05313021892508025,0.0424735660202581,-0.020953615836293276,-0.0013934223954369868,0.007143364906535385
image_1,/app/images_aligned/image/extractions/image_1.png,/app/images_aligned/image/masks/image_1_mask.png,image,40,25,0.625,643,165.19595949289334,0.7033087645770885,0.7323462414578588,0.2960888106092701,109.5,163.0,146.0,113.75,164.94117647058823,141.07720588235293,174.0,208.5,198.0,169.95955882352942,203.48529411764707,188.00367647058823,56,73,57,135,161,143,172,207,195,219,245,230,0.24727838258164853,0.24883359253499224,0.25038880248833595,0.2534992223950233,-0.33363986468412726,0.014844274687430525,-0.2586868089809663,0.0029335568629068414,-0.19618765963518708,0.044927599301215135,-0.10635331353438775,0.08761018213873344,-0.03720372238317227,0.14966916932296906,0.0314570535202006,0.21224386009954185,0.10266129512089521,0.24613984064031402,0.07699921134855822,0.16739026457734163,0.09865122599768687,0.07579149279050106,0.07030219567118674,-0.0183517962956799,0.021611030646143656,-0.0995556258087467,0.035246953912134484,-0.17251351305558824,0.016416906411030375,-0.25645796228748186,-0.05897092395256222,-0.2669559541520454,-0.11270075122175464,-0.19882765957429083,-0.160272984283543,-0.14243822781245077,-0.2523434652412349,-0.15697899764250656,-0.3012979553135793,-0.22260047040215666,-0.3602398053808112,-0.28247491349040027,-0.31469792187827855,-0.35641750414461476,-0.26829838959749747,-0.44268168194266255,-0.20759097445893632,-0.4655112210204661,-0.14127989092650703,-0.4254567016123812,-0.04771161495528974,-0.439408548829609,0.043184149685172916,-0.40456674245043556,0.09984055334568251,-0.47990943474784103,0.1869646875592808,-0.4694474099807588,0.23158057306206487,-0.388385129069514,0.2643479448347654,-0.3076065648887034,0.26593501531160546,-0.21482551350966478,0.25138514347406693,-0.12221180478267797,0.23139371066894993,-0.03598295918226137,0.16273323584564356,0.018857191455161893,0.19699550857527964,0.11210344943748335,0.2596320568003738,0.17990431201430837,0.30839761479668704,0.2613155905660224,0.35141971326108584,0.3428512025240169,0.32449543817909254,0.41783823973687145,0.32480719515210543,0.5049157602110352,0.2517043466985026,0.47153310685801714,0.17087823664534788,0.5200905652521589,0.0981296896780832,0.4865821007810148,0.0047124112338814686,0.49083142368664295,-0.08512193486691788,0.4481488408491251,-0.14540064497602914,0.3769564213606574,-0.1389264478035901,0.30576791797107633,-0.17409484399292932,0.2195772427382434,-0.20050923190092595,0.130487083062576,-0.25001983350673695,0.05612077811871315,-0.3303341139605447,0.024134869638857446
image_28,/app/images_aligned/image/extractions/image_28.png,/app/images_aligned/image/masks/image_28_mask.png,image,52,26,0.5,773,231.52186130069782,0.6256550155937655,0.5900763358778626,0.1812196750874613,95.0,128.0,88.0,93.32295719844358,124.44357976653697,85.27626459143968,163.0,187.0,158.0,155.27237354085602,177.27626459143968,147.52529182879377,44,54,36,110,126,101,156,179,152,200,219,190,0.24579560155239327,0.25097024579560157,0.25097024579560157,0.2522639068564036,-0.06762294007250008,0.002480869074931938,-0.1416278207037904,0.05716312025039199,-0.13644759736752152,0.1280321400857734,-0.06341943289631921,0.1894045428479209,0.002901926360304759,0.23154758011453716,-0.010402964695175496,0.14114687859950478,0.04417948229351072,0.06158577364037189,0.05496356374759617,0.15772969970014988,0.09361054215567553,0.2519049724839872,0.1753144471567624,0.20301445303461202,0.21826810782886463,0.27366003646745907,0.23426468023986802,0.34869025572103163,0.14003808380710633,0.3883117169110667,0.05382065770450789,0.41303120551745026,0.015402590338125684,0.4774761781923328,-0.06366632627370741,0.5100549942345693,-0.07311404374355815,0.449646459516505,-0.03334982733011217,0.40948749437227167,-0.0614558853081505,0.3085821187658255,-0.11877808945912523,0.2253652120066106,-0.18555174156998258,0.1492231675892731,-0.26561702978361007,0.10764020096626802,-0.27027077552372014,0.01872447782110137,-0.1829481792801666,-0.007229436657030469,-0.09675055169576441,-0.03152993976245034,-0.05066231189781212,-0.12492011086256695,-0.060185512454629726,-0.22909078280380177,-0.14240000245754098,-0.24628320777718055,-0.2389540895632174,-0.26490705757361194,-0.33025438996085554,-0.314961835712922,-0.39530595628985704,-0.3863959314936657,-0.30129241577296595,-0.3997775445968833,-0.20300295438988455,-0.37579016762568945,-0.11208787266239922,-0.4188121944380163,-0.03913949002837718,-0.4899450057654307,0.05753453558405606,-0.467774543328677,0.054901056759341434,-0.380966257921649,0.13798847471684217,-0.3275003840158779,0.18402021663578072,-0.2533802482688374,0.27079959767008055,-0.20235074725732913,0.34692481908935235,-0.13316627208599763,0.3900710004479759,-0.04251731556478324,0.33310688323191845,-0.014985661805936188,0.2866527045175355,-0.10447852977526148,0.19058989620396277,-0.13971701898552993,0.13522791785472651,-0.07407625492199679,0.16480933334052314,0.019281588247459507,0.10094265042129856,-0.020567763250130666,0.01956550373423926,-0.06567026793530163,-0.06159047065921178,-0.006390655974848656
image_26,/app/images_aligned/image/extractions/image_26.png,/app/images_aligned/image/masks/image_26_mask.png,image,48,36,0.75,843,221.7228714274745,0.6584018830238171,0.5833910034602076,0.21548470523409363,118.0,175.0,144.0,113.07784431137725,163.34730538922156,136.82634730538922,180.0,215.0,197.0,166.97005988023952,199.0808383233533,183.31736526946108,67,83,68,150,181,168,184,222,205,218,245,228,0.2431791221826809,0.2431791221826809,0.2479240806642942,0.265717674970344,-0.037740537775867625,0.02286937199431518,0.047902881606919745,-0.05935565788043296,0.1366928964919241,-0.1136793504729597,0.2316377990608132,-0.16951168694313876,0.13801146351110527,-0.2017839145854034,0.0904021494428506,-0.2827134805979747,0.0031262001725920457,-0.33951930082194404,-0.007390462162657579,-0.2466477896182676,-0.0001411455070392908,-0.16521498837221954,-0.0916627544015857,-0.22143666182667515,-0.20827056575865585,-0.23162588725511693,-0.30574748826163867,-0.19929685149291887,-0.40657626783101836,-0.2572117494552426,-0.4017081702425225,-0.3595140101659622,-0.28677837214141594,-0.35432390688060306,-0.18394514234149484,-0.2994751525401616,-0.14225012993888464,-0.3959151351395128,-0.13359754674509644,-0.4798458575585421,-0.04418276021504973,-0.4154470653857774,0.0550590143317542,-0.3843902872142343,0.1596391226999061,-0.40069378280865336,0.26053798777374404,-0.34244048361818485,0.33686981378769537,-0.2531085842043675,0.3911713314719832,-0.15147519678909566,0.2919492341946982,-0.10783986286471553,0.1953056043418702,-0.044148808421578326,0.11033971949033339,0.011575746226132258,0.08986834946895211,0.1100327033894937,-0.012245572412705448,0.1624401409320092,-0.0026904160859032686,0.2675568878266939,0.09944153121604062,0.3163997283329057,0.1851074042579124,0.2858752800884415,0.13277298849279834,0.204579708891052,0.172226876058588,0.1063590385184282,0.2547794812113128,0.10244652325600469,0.29273506107566805,0.20226112745086386,0.26142356644154274,0.3115504754893514,0.19205914146997927,0.39942495750126444,0.11830845241268854,0.4111035784513989,0.015117095961886508,0.35869892129219944,-0.09078162795582992,0.40561974260101774,-0.16141632689130248,0.49254935784450204,-0.2757685002067828,0.5201541424414579,-0.34075552720153146,0.4615794429671837,-0.3649402227447174,0.37089725019025777,-0.27109327783479104,0.32263391462868907,-0.17767823667895447,0.2878857039173126,-0.18484023393459337,0.1815346810595417,-0.08479424927370288,0.12818092918572535,-0.0454896319018172,0.03240609843744265
